Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 30 a 34 ,Bolivar,San Miguel,Urbano,Publico,En Ecuador en una universidad publica,Especializacion ma©dica,Especialidades ma©dicas,Cuba,Salud,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Bolivar,San Miguel,Urbano,2019,Todavia no consigue empleo,,Menos de 1 año,Descontento(a) por ingresos bajos,disminuido,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Liquidacion ,No,No,No,No
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Chile,Ingenieria y profesiones afines,2012,Convocatoria abierta,Secundaria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,3,De 1 a 3 ,Muy contento(a),disminuido,No se aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Redistribucion de presupuesto ya va 2,5  en tra¡mite.",No,No,No,
Masculino,De 18 a 24 ,Guayas,Guayaquil,Urbano,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Pregrado - tercer nivel,Ecuador,Derecho,2016,BDH,Secundaria,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Desembolso,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 18 a 24 ,Imbabura,Ibarra,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2015,Excelencia,Pregrado - tercer nivel,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Pago de manutencion Feb2020,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,United Kingdom,Artes,2014,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,5,De 5 a 10 ,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por no tener estabilidad,aumentado,No se aun,Me quedaria en el Ecuador,Si,Extension sin financiamiento. ,No,No,"Si, porque no encontra© trabajo en el plazo establecido","En la respuesta anterior respondi si, pero no por ninguna de la razones expuestas, sino porque como no me responden el tra¡mite de extension sin financiamiento, tengo miedo que digan que me atrasa© en mi devengacion."
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ciencias biologicas y afines,2013,Excelencia,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,5,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Doctorado PhD,Spain,Ingenieria y profesiones afines,2017,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No se aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Finalizacion del proceso del periodo anterior para solicitar el desembolso actual.,No,No,No,Solicitud de documentos que no contempla la convocatoria ni el sistema pusak.(record migratorio)
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior sin beca Senescyt,Maestria,Maestria,Netherlands,Ciencias sociales y del comportamiento,2015,Excelencia,Doctorado PhD,Doctorado PhD,,Becario retornado,Pichincha,Quito,Urbano,2016,10-12 meses,5,Menos de 1 año,Descontento(a) por no tener estabilidad,aumentado,No se aun,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,Terminacion de periodo de compensacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Nunca contestan los funcionarios de Senescyt
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ciencias biologicas y afines,2019,Excelencia,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,3,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Modificacion de contrato por exceso de rubros,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Loja,Celica,Rural,Fiscomisional,En Ecuador en una universidad publica,Posdoctorado,Maestria,France,Ciencias fisicas,2012,Convocatoria abierta,Primaria,Primaria,,Becario que termina sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Compensacion desde el exterior ,No,No,"Si, porque me encuentro en el exterior","Se deberia pedir que la compensacion se pueda realizar desde el extranjero. Tengo entendido que es posible pero nos es muy flexible. Esta pandemia nos ha demostrado que se puede hacer muchas cosas remotamente. En mi caso he realizado seminarios y con otros investigadores hemos creado el grupo de investigadores latitud cero, con el cual invitamos cientificos a dar seminarios online cada mes. Igualmente luego de la beca de maestria he realizado varias publicaciones indexadas. En las condiciones actuales creo que se puede aportar al pias mucho mas remotamente desde fuera que desde el Ecuador, en donde conseguir un trabajo en ciencias puras solo se lo puede hacer en universidades que ahora mismo solo estan despidiendo personal. Seria muy util que desde ABREC se busque flexibilidad para poder compensar desde el extranjero. "
Masculino,De 25 a 29 ,Loja,Loja,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Arquitectura y construccion,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Loja,Loja,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Carchi,Tulca¡n,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Doctorado PhD;Maestria,Portugal,Tecnologias de la informacion y la comunicacion,2016,Convocatoria abierta,Primaria,No culmino la primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,No,,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Rumiñahui,Rural,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Ecuador,Ciencias biologicas y afines,2017,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Rumiñahui,Urbano,2019,3-6 meses,1,De 5 a 10 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Seguimiento de compensacion,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Masculino,De 18 a 24 ,Imbabura,Otavalo,Rural,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ingenieria y profesiones afines,2015,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Nunca se me realizo el pago de la matricula del 2019,No,No,No,
Masculino,De 35 a 39 ,Chimborazo,Riobamba,Urbano,Fiscomisional,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Agricultura,2013,Convocatoria abierta,Maestria,Secundaria,,Becario retornado,Chimborazo,Riobamba,Urbano,2019,3-6 meses,2,De 3 a 5 ,Descontento(a) por sobrecarga de trabajo;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Russia,Ingenieria y profesiones afines,2016,Cooperacion,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,1,Menos de 1 año,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Respuestas de Devengacion y Liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Humanidades,2016,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Cambio de fechas de contrato,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Industria y produccion,2014,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,informe de compensacion por articulos ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 40 a 50 ,Cañar,La Troncal,Rural,Publico,En el exterior sin beca Senescyt,Doctorado - PhD,Doctorado PhD,Brazil,Agricultura,2012,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Santa Elena,Salinas,Urbano,2018,3-6 meses,4,De 3 a 5 ,Muy contento(a);Descontento(a) por sobrecarga de trabajo,aumentado,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,No,,No,No,No,
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United States of America,Ciencias fisicas,2013,Excelencia,Especialidades ma©dicas,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Pedido de diferimiento de periodo de compensacion por estudios no financiados por la Sencescyt(desde el 2017)/Impugnacion a la resolucion de terminacion unilateral de contrato emitida en mayo de 2020,Si,No,,"Cuando todavia estudiaba me perdieron mi carpeta dos veces (ahora tengo copias de todo). Asimismo, cuando regrese a Ecuador en el 2017 no tuve y hasta la presente fecha no tengo analista de becas que me haga seguimiento ocupacional(en el contrato se establece que era la obligacion del IFTH hacerme seguimiento con el analista designado)."
Femenino,De 40 a 50 ,Loja,Loja,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Argentina,Ciencias biologicas y afines,2011,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Loja,Loja,Urbano,2014,3-6 meses,3,De 5 a 10 ,,,No,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Incumplimiento de contrato por parte de la institucion auspiciante firmada bajo convenio
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Finland,Ciencias biologicas y afines,2016,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,5,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Liquidacion ,No,No,No,
Masculino,De 40 a 50 ,Loja,Saraguro,Rural,Fiscomisional,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD;Maestria,Switzerland,Medio ambiente,2013,Pueblos y Nacionalidades,Pregrado - tercer nivel,Secundaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Peticion de diferimiento de compensacion,No,No,"SI, porque no regresa© en el plazo establecido",
Masculino,De 40 a 50 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Doctorado PhD;Maestria,United States of America,Ingenieria y profesiones afines,2014,Fulbright - Senescyt,Pregrado - tercer nivel,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,Tal vez,"Si, porque me encuentro en el exterior","No me ha sucedido aun, pero debo solicitar ampliacion de plazo y siempre esta¡ el temor de que no contesten a tiempo"
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Maestria,United Kingdom,Ingenieria y profesiones afines,2014,Convocatoria abierta,Maestria,Secundaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Extension de diferimiento de Compensacion por estudios no financiados por la Senecyt ,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 30 a 34 ,Tungurahua,Cevallos,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Belgium,Tecnologias de la informacion y la comunicacion,2017,Convocatoria abierta,Primaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,No,,No,No,No,
Femenino,De 35 a 39 ,Pichincha,Santo Domingo,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Chile,Agricultura,2012,Convocatoria abierta,Maestria,Maestria,,Becario retornado,Loja,Loja,Urbano,2018,7-9 meses,3,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,disminuido,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,He solicitado la liquidacion desde el año anterior y no hay respuesta. Me solicitaron subir nuevamente mi titulo y se registra que 10 analistas lo han observado pero sin respuesta ,No,No,No,"Realice una solicitud de extension de tiempo sin financiamiento, nunca me dieron respuesta. Cuando volvi todos mis papeles habian sido verificados pero el analista no ingreso la solicitud al comita©. Me hicieron un contrato modificatorio donde incluyeron el tiempo de extension. Y de lo que se no es correcto que me hagan compensar 1,5  por el tiempo de estudios extra. Pero ya el nuevo contrato cuenta con ese tiempo. "
Masculino,De 30 a 34 ,Esmeraldas,Quininda©,Urbano,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Maestria,Spain,Medio ambiente,2019,Convocatoria abierta,Primaria,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Revision de mis justificativos para el siguiente desembolso y el correspondiente desembolso. ,No,No,"Si, porque no encontra© trabajo en el plazo establecido","Solo la incertidumbre de quien manejara¡ o como lo hara¡n ahora que la competencia de Administracion de las becas pasa a SENESCYT, no sa© con quien deba comunicarme como lo hacia con la analista de la coordinacion zonal a la que pertenezco, no lo han notificado aun. "
Femenino,De 25 a 29 ,Imbabura,Ibarra,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2012,Cooperacion,Secundaria,Pregrado - tercer nivel,,Becario retornado,Imbabura,Ibarra,Rural,2019,3-6 meses,5,No tenia experiencia,Muy contento(a),aumentado,No,Me quedaria en el Ecuador,No,,No,No,"SI, porque no regresa© en el plazo establecido",
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Netherlands,Agricultura,2016,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Rural,2019,0-2 meses,2,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por sobrecarga de trabajo,aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion financiera,No,No,No,Incertidumbre frente a la forma de liquidacion y ca¡lculo de valores a devolver
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ciencias sociales y del comportamiento,2015,Excelencia,Doctorado PhD,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,5,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion,No,No,No,Tener que pagar mi afiliacion sin estar trabajando para que parezca que estoy compensando. 
